round,q-learning reward,sarsa reward
1,-1580.46,-1580.46
10000,1823.02,1682.4
20000,1866.54,1684.47
30000,1968.97,1655.2
40000,2033.65,1709.6
50000,2047.59,1737.98
60000,2094.62,1700.31
70000,2109.61,1777.57
80000,2109.04,1704.39
90000,2119.51,1728.79
100000,2120.68,1691.2
110000,2133.43,1734.77
120000,2136.84,1704.63
130000,2141.33,1706.33
140000,2151.04,1733.02
150000,2152.34,1747.96
160000,2151.97,1748.06
170000,2156.11,1730.93
180000,2158.11,1752.69
190000,2158.97,1716.83
200000,2161.98,1729.62
210000,2163.16,1688.11
220000,2164.91,1722.85
230000,2166.53,1765.61
240000,2167.63,1706.44
250000,2168.67,1733.13
260000,2168.21,1718.28
270000,2170.31,1764.81
280000,2171.4,1737.43
290000,2172.07,1737.49
300000,2172,1748.08
310000,2172.53,1724.96
320000,2172.95,1740.96
330000,2173.77,1732.92
340000,2173.89,1755.91
350000,2174.18,1717.56
360000,2174.26,1721.83
370000,2175.95,1719.33
380000,2175.72,1757.87
390000,2176.48,1756.12
400000,2176.15,1759.95
410000,2176.67,1754.17
420000,2177.3,1817.03
430000,2177.3,1790.72
440000,2177.72,1734.34
450000,2177.72,1746.75
460000,2177.72,1804.92
470000,2177.58,1810.47
480000,2178.1,1758.65
490000,2177.81,1738.72
500000,2179.3,1722.27
510000,2179.3,1791.95
520000,2179.5,1753.79
530000,2179.5,1770.79
540000,2179.5,1741.29
550000,2179.5,1786.32
560000,2179.5,1809.22
570000,2179.5,1781.76
580000,2179.64,1760.17
590000,2179.64,1737.16
600000,2179.64,1834.08
610000,2179.64,1776.14
620000,2179.88,1783.28
630000,2180.17,1792.41
640000,2180.17,1793.84
650000,2180.17,1765.48
660000,2180.45,1799.72
670000,2180.45,1748.31
680000,2181.02,1809.54
690000,2181.02,1776.05
700000,2181.02,1771.62
710000,2181.02,1723.38
720000,2181.17,1816.86
730000,2181.17,1834.51
740000,2181.17,1779.57
750000,2181.45,1794.99
760000,2181.45,1820.54
770000,2181.45,1751.85
780000,2181.45,1823.04
790000,2181.45,1796.7
800000,2181.45,1735.05
